id,utc_created,utc_updated,country,country_code,indicator_code,indicator,value,year
40,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Spain,ESP,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.985,2013
41,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Estonia,EST,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",1.042,2013
42,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Ethiopia,ETH,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.853,2013
43,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Finland,FIN,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",1.006,2013
44,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Fiji,FJI,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.937,2013
45,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",France,FRA,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.989,2013
46,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","United Kingdom",GBR,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.993,2013
47,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Georgia,GEO,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.941,2013
48,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Ghana,GHA,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.884,2013
49,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Guinea,GIN,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.785,2013
50,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Greece,GRC,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.959,2013
51,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Guatemala,GTM,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.91,2013
52,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Guyana,GUY,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.985,2013
53,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Hong Kong China (SAR)",HKG,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.969,2013
54,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Honduras,HND,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.929,2013
55,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Croatia,HRV,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.987,2013
56,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Hungary,HUN,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.998,2013
57,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Indonesia,IDN,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.923,2013
58,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",India,IND,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.828,2013
59,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Ireland,IRL,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.965,2013
60,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Iran (Islamic Republic of)",IRN,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.847,2013
61,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Iraq,IRQ,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.802,2013
62,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Iceland,ISL,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.982,2013
63,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Israel,ISR,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.984,2013
64,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Italy,ITA,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.962,2013
65,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Jamaica,JAM,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.989,2013
66,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Jordan,JOR,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.842,2013
67,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Japan,JPN,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.951,2013
68,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Kazakhstan,KAZ,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",1.015,2013
69,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Kenya,KEN,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.908,2013
70,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Kyrgyzstan,KGZ,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.976,2013
71,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Cambodia,KHM,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.909,2013
72,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Korea (Republic of)",KOR,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.94,2013
73,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Kuwait,KWT,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.987,2013
74,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Lao People's Democratic Republic",LAO,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.897,2013
75,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Lebanon,LBN,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.9,2013
76,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Liberia,LBR,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.786,2013
77,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Libya,LBY,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.931,2013
78,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Sri Lanka",LKA,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.961,2013
79,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Lesotho,LSO,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.973,2013
80,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Lithuania,LTU,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",1.036,2013
81,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Luxembourg,LUX,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.961,2013
82,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Latvia,LVA,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",1.033,2013
83,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Morocco,MAR,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.828,2013
84,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Moldova (Republic of)",MDA,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.99,2013
85,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Madagascar,MDG,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.917,2013
86,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Maldives,MDV,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.936,2013
87,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Mexico,MEX,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.94,2013
88,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","The former Yugoslav Republic of Macedonia",MKD,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.944,2013
89,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Mali,MLI,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.771,2013
90,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Malta,MLT,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.954,2013
91,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Mongolia,MNG,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",1.021,2013
92,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Mozambique,MOZ,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.879,2013
93,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Mauritania,MRT,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.801,2013
94,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Mauritius,MUS,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.957,2013
95,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Malawi,MWI,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.891,2013
96,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Malaysia,MYS,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.935,2013
97,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Namibia,NAM,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.978,2013
