last_updated,country_latitude,country,country_en,country_longitude,value,month,country_total,month_en,year,date
1461448800,38.81,GRE,Greece,23.21,955,1,154491,January,2014,2014-01
1461448800,38.81,GRE,Greece,23.21,1001,2,154491,February,2014,2014-02
1461448800,38.81,GRE,Greece,23.21,1501,3,154491,March,2014,2014-03
1461448800,38.81,GRE,Greece,23.21,1257,4,154491,April,2014,2014-04
1461448800,38.81,GRE,Greece,23.21,1703,5,154491,May,2014,2014-05
1461448800,38.81,GRE,Greece,23.21,3198,6,154491,June,2014,2014-06
1461448800,38.81,GRE,Greece,23.21,3927,7,154491,July,2014,2014-07
1461448800,38.81,GRE,Greece,23.21,6742,8,154491,August,2014,2014-08
1461448800,38.81,GRE,Greece,23.21,7454,9,154491,September,2014,2014-09
1461448800,38.81,GRE,Greece,23.21,7432,10,154491,October,2014,2014-10
1461448800,38.81,GRE,Greece,23.21,3812,11,154491,November,2014,2014-11
1461448800,38.81,GRE,Greece,23.21,2056,12,154491,December,2014,2014-12
1461448800,38.81,GRE,Greece,23.21,1694,1,154491,January,2015,2015-01
1461448800,38.81,GRE,Greece,23.21,2873,2,154491,February,2015,2015-02
1461448800,38.81,GRE,Greece,23.21,7874,3,154491,March,2015,2015-03
1461448800,38.81,GRE,Greece,23.21,13556,4,154491,April,2015,2015-04
1461448800,38.81,GRE,Greece,23.21,17889,5,154491,May,2015,2015-05
1461448800,38.81,GRE,Greece,23.21,31318,6,154491,June,2015,2015-06
1461448800,38.81,GRE,Greece,23.21,54899,7,154491,July,2015,2015-07
1461448800,38.81,GRE,Greece,23.21,107843,8,154491,August,2015,2015-08
1461448800,38.81,GRE,Greece,23.21,147123,9,154491,September,2015,2015-09
1461448800,38.81,GRE,Greece,23.21,211663,10,154491,October,2015,2015-10
1461448800,38.81,GRE,Greece,23.21,151249,11,154491,November,2015,2015-11
1461448800,38.81,GRE,Greece,23.21,108742,12,154491,December,2015,2015-12
1461448800,38.81,GRE,Greece,23.21,67415,1,154491,January,2016,2016-01
1461448800,38.81,GRE,Greece,23.21,57066,2,154491,February,2016,2016-02
1461448800,38.81,GRE,Greece,23.21,26971,3,154491,March,2016,2016-03
1461448800,38.81,GRE,Greece,23.21,3039,4,154491,April,2016,2016-04
1461708000,41.57,ITA,Italy,14.6,2171,1,27267,January,2014,2014-01
1461708000,41.57,ITA,Italy,14.6,3335,2,27267,February,2014,2014-02
1461708000,41.57,ITA,Italy,14.6,5459,3,27267,March,2014,2014-03
1461708000,41.57,ITA,Italy,14.6,15679,4,27267,April,2014,2014-04
