last_updated,country_latitude,country,country_en,country_longitude,value,month,country_total,month_en,year,date
1461708000,41.57,ITA,Italy,14.6,14599,5,27267,May,2014,2014-05
1461708000,41.57,ITA,Italy,14.6,22641,6,27267,June,2014,2014-06
1461708000,41.57,ITA,Italy,14.6,24031,7,27267,July,2014,2014-07
1461708000,41.57,ITA,Italy,14.6,24774,8,27267,August,2014,2014-08
1461708000,41.57,ITA,Italy,14.6,26107,9,27267,September,2014,2014-09
1461708000,41.57,ITA,Italy,14.6,15277,10,27267,October,2014,2014-10
1461708000,41.57,ITA,Italy,14.6,9295,11,27267,November,2014,2014-11
1461708000,41.57,ITA,Italy,14.6,6732,12,27267,December,2014,2014-12
1461708000,41.57,ITA,Italy,14.6,3528,1,27267,January,2015,2015-01
1461708000,41.57,ITA,Italy,14.6,4354,2,27267,February,2015,2015-02
1461708000,41.57,ITA,Italy,14.6,2283,3,27267,March,2015,2015-03
1461708000,41.57,ITA,Italy,14.6,16063,4,27267,April,2015,2015-04
1461708000,41.57,ITA,Italy,14.6,21235,5,27267,May,2015,2015-05
1461708000,41.57,ITA,Italy,14.6,22891,6,27267,June,2015,2015-06
1461708000,41.57,ITA,Italy,14.6,23186,7,27267,July,2015,2015-07
1461708000,41.57,ITA,Italy,14.6,22609,8,27267,August,2015,2015-08
1461708000,41.57,ITA,Italy,14.6,15922,9,27267,September,2015,2015-09
1461708000,41.57,ITA,Italy,14.6,8916,10,27267,October,2015,2015-10
1461708000,41.57,ITA,Italy,14.6,3218,11,27267,November,2015,2015-11
1461708000,41.57,ITA,Italy,14.6,9637,12,27267,December,2015,2015-12
1461708000,41.57,ITA,Italy,14.6,5273,1,27267,January,2016,2016-01
1461708000,41.57,ITA,Italy,14.6,3828,2,27267,February,2016,2016-02
1461708000,41.57,ITA,Italy,14.6,9676,3,27267,March,2016,2016-03
1461708000,41.57,ITA,Italy,14.6,8490,4,27267,April,2016,2016-04
1459375200,35.8833,MTA,Malta,14.5,0,1,0,January,2014,2014-01
1459375200,35.8833,MTA,Malta,14.5,0,2,0,February,2014,2014-02
1459375200,35.8833,MTA,Malta,14.5,91,3,0,March,2014,2014-03
1459375200,35.8833,MTA,Malta,14.5,0,4,0,April,2014,2014-04
1459375200,35.8833,MTA,Malta,14.5,0,5,0,May,2014,2014-05
1459375200,35.8833,MTA,Malta,14.5,136,6,0,June,2014,2014-06
1459375200,35.8833,MTA,Malta,14.5,81,7,0,July,2014,2014-07
1459375200,35.8833,MTA,Malta,14.5,257,8,0,August,2014,2014-08
1459375200,35.8833,MTA,Malta,14.5,3,9,0,September,2014,2014-09
1459375200,35.8833,MTA,Malta,14.5,0,10,0,October,2014,2014-10
1459375200,35.8833,MTA,Malta,14.5,0,11,0,November,2014,2014-11
1459375200,35.8833,MTA,Malta,14.5,0,12,0,December,2014,2014-12
1459375200,35.8833,MTA,Malta,14.5,87,1,0,January,2015,2015-01
1459375200,35.8833,MTA,Malta,14.5,0,2,0,February,2015,2015-02
1459375200,35.8833,MTA,Malta,14.5,0,3,0,March,2015,2015-03
1459375200,35.8833,MTA,Malta,14.5,5,4,0,April,2015,2015-04
1459375200,35.8833,MTA,Malta,14.5,0,5,0,May,2015,2015-05
1459375200,35.8833,MTA,Malta,14.5,2,6,0,June,2015,2015-06
1459375200,35.8833,MTA,Malta,14.5,2,7,0,July,2015,2015-07
1459375200,35.8833,MTA,Malta,14.5,2,8,0,August,2015,2015-08
1459375200,35.8833,MTA,Malta,14.5,7,9,0,September,2015,2015-09
1459375200,35.8833,MTA,Malta,14.5,0,10,0,October,2015,2015-10
1459375200,35.8833,MTA,Malta,14.5,0,11,0,November,2015,2015-11
1459375200,35.8833,MTA,Malta,14.5,0,12,0,December,2015,2015-12
1459375200,35.8833,MTA,Malta,14.5,0,1,0,January,2016,2016-01
1459375200,35.8833,MTA,Malta,14.5,0,2,0,February,2016,2016-02
1459375200,35.8833,MTA,Malta,14.5,0,3,0,March,2016,2016-03
1459375200,35.8833,MTA,Malta,14.5,0,4,0,April,2016,2016-04
1459375200,40.4169,SPA,Spain,-3.7036,144,1,903,January,2014,2014-01
1459375200,40.4169,SPA,Spain,-3.7036,33,2,903,February,2014,2014-02
1459375200,40.4169,SPA,Spain,-3.7036,232,3,903,March,2014,2014-03
1459375200,40.4169,SPA,Spain,-3.7036,148,4,903,April,2014,2014-04
1459375200,40.4169,SPA,Spain,-3.7036,325,5,903,May,2014,2014-05
1459375200,40.4169,SPA,Spain,-3.7036,246,6,903,June,2014,2014-06
1459375200,40.4169,SPA,Spain,-3.7036,264,7,903,July,2014,2014-07
1459375200,40.4169,SPA,Spain,-3.7036,1705,8,903,August,2014,2014-08
1459375200,40.4169,SPA,Spain,-3.7036,380,9,903,September,2014,2014-09
1459375200,40.4169,SPA,Spain,-3.7036,341,10,903,October,2014,2014-10
1459375200,40.4169,SPA,Spain,-3.7036,211,11,903,November,2014,2014-11
1459375200,40.4169,SPA,Spain,-3.7036,319,12,903,December,2014,2014-12
1459375200,40.4169,SPA,Spain,-3.7036,241,1,903,January,2015,2015-01
1459375200,40.4169,SPA,Spain,-3.7036,44,2,903,February,2015,2015-02
1459375200,40.4169,SPA,Spain,-3.7036,267,3,903,March,2015,2015-03
1459375200,40.4169,SPA,Spain,-3.7036,240,4,903,April,2015,2015-04
1459375200,40.4169,SPA,Spain,-3.7036,438,5,903,May,2015,2015-05
1459375200,40.4169,SPA,Spain,-3.7036,377,6,903,June,2015,2015-06
1459375200,40.4169,SPA,Spain,-3.7036,346,7,903,July,2015,2015-07
1459375200,40.4169,SPA,Spain,-3.7036,385,8,903,August,2015,2015-08
1459375200,40.4169,SPA,Spain,-3.7036,459,9,903,September,2015,2015-09
1459375200,40.4169,SPA,Spain,-3.7036,795,10,903,October,2015,2015-10
1459375200,40.4169,SPA,Spain,-3.7036,508,11,903,November,2015,2015-11
1459375200,40.4169,SPA,Spain,-3.7036,308,12,903,December,2015,2015-12
1459375200,40.4169,SPA,Spain,-3.7036,447,1,903,January,2016,2016-01
1459375200,40.4169,SPA,Spain,-3.7036,180,2,903,February,2016,2016-02
1459375200,40.4169,SPA,Spain,-3.7036,276,3,903,March,2016,2016-03
1459375200,40.4169,SPA,Spain,-3.7036,0,4,903,April,2016,2016-04
