ID_VALDA,FIN_VALDA,INI_VALDA,ID_DATO,ID_UNIDAD,ID_MUN,VAL_VALDA,ID_DEPTO
705056,2004-12-31,2004-01-01,495,9,05147,0.00130,
705055,2004-12-31,2004-01-01,495,9,05145,0.00000,
705054,2004-12-31,2004-01-01,495,9,05142,0.00000,
960738,2007-12-31,2007-01-01,495,4,15686,12.00000,
960737,2007-12-31,2007-01-01,495,4,15681,8.00000,
960736,2007-12-31,2007-01-01,495,4,15676,0.00000,
960735,2007-12-31,2007-01-01,495,4,15673,0.00000,
960734,2007-12-31,2007-01-01,495,4,15667,10.00000,
960733,2007-12-31,2007-01-01,495,4,15664,0.00000,
960732,2007-12-31,2007-01-01,495,4,15660,32.00000,
960731,2007-12-31,2007-01-01,495,4,15646,13.86000,
960730,2007-12-31,2007-01-01,495,4,15638,17.25000,
960729,2007-12-31,2007-01-01,495,4,15632,3.00000,
960728,2007-12-31,2007-01-01,495,4,15621,3.00000,
960727,2007-12-31,2007-01-01,495,4,15600,10.30000,
960726,2007-12-31,2007-01-01,495,4,15599,40.00000,
960725,2007-12-31,2007-01-01,495,4,15580,11.00000,
960724,2007-12-31,2007-01-01,495,4,15572,22.75000,
960723,2007-12-31,2007-01-01,495,4,15550,0.00000,
960722,2007-12-31,2007-01-01,495,4,15542,6.00000,
960721,2007-12-31,2007-01-01,495,4,15537,45.00000,
960720,2007-12-31,2007-01-01,495,4,15533,0.00000,
960719,2007-12-31,2007-01-01,495,4,15531,3.00000,
960718,2007-12-31,2007-01-01,495,4,15522,0.00000,
960717,2007-12-31,2007-01-01,495,4,15518,0.00000,
960716,2007-12-31,2007-01-01,495,4,15516,16.34000,
960715,2007-12-31,2007-01-01,495,4,15514,35.00000,
960714,2007-12-31,2007-01-01,495,4,15511,0.00000,
960713,2007-12-31,2007-01-01,495,4,15051,73.00000,
960712,2007-12-31,2007-01-01,495,4,15507,14.00000,
960711,2007-12-31,2007-01-01,495,4,15500,1.93000,
960710,2007-12-31,2007-01-01,495,4,15494,3.00000,
960709,2007-12-31,2007-01-01,495,4,15491,1.98000,
960708,2007-12-31,2007-01-01,495,4,15480,4.00000,
960707,2007-12-31,2007-01-01,495,4,15476,4.09000,
960706,2007-12-31,2007-01-01,495,4,15047,2.00000,
960705,2007-12-31,2007-01-01,495,4,15469,2.62000,
960704,2007-12-31,2007-01-01,495,4,15466,4.00000,
960703,2007-12-31,2007-01-01,495,4,15464,13.00000,
960702,2007-12-31,2007-01-01,495,4,15455,2.70000,
960701,2007-12-31,2007-01-01,495,4,15442,0.00000,
960700,2007-12-31,2007-01-01,495,4,15425,28.00000,
960699,2007-12-31,2007-01-01,495,4,15407,14.58000,
960698,2007-12-31,2007-01-01,495,4,15403,0.00000,
960697,2007-12-31,2007-01-01,495,4,15401,49.00000,
960696,2007-12-31,2007-01-01,495,4,15380,13.00000,
960695,2007-12-31,2007-01-01,495,4,15377,0.00000,
960694,2007-12-31,2007-01-01,495,4,15368,16.00000,
960693,2007-12-31,2007-01-01,495,4,15367,0.00000,
960692,2007-12-31,2007-01-01,495,4,15362,0.00000,
960691,2007-12-31,2007-01-01,495,4,15332,0.00000,
960690,2007-12-31,2007-01-01,495,4,15325,0.00000,
960689,2007-12-31,2007-01-01,495,4,15322,12.00000,
960688,2007-12-31,2007-01-01,495,4,15317,0.00000,
960687,2007-12-31,2007-01-01,495,4,15299,1.29000,
960686,2007-12-31,2007-01-01,495,4,15296,0.00000,
960685,2007-12-31,2007-01-01,495,4,15293,0.00000,
960684,2007-12-31,2007-01-01,495,4,15276,14.91000,
960683,2007-12-31,2007-01-01,495,4,15272,0.00000,
960682,2007-12-31,2007-01-01,495,4,15248,0.00000,
960681,2007-12-31,2007-01-01,495,4,15244,0.00000,
960680,2007-12-31,2007-01-01,495,4,15238,23.44000,
960679,2007-12-31,2007-01-01,495,4,15236,45.00000,
960678,2007-12-31,2007-01-01,495,4,15232,0.00000,
960677,2007-12-31,2007-01-01,495,4,15226,22.00000,
960676,2007-12-31,2007-01-01,495,4,15224,3.98000,
960675,2007-12-31,2007-01-01,495,4,15223,0.00000,
960674,2007-12-31,2007-01-01,495,4,15022,5.00000,
960673,2007-12-31,2007-01-01,495,4,15218,3.00000,
960672,2007-12-31,2007-01-01,495,4,15215,0.00000,
960671,2007-12-31,2007-01-01,495,4,15212,0.00000,
960670,2007-12-31,2007-01-01,495,4,15204,3.99000,
960669,2007-12-31,2007-01-01,495,4,15189,23.00000,
960668,2007-12-31,2007-01-01,495,4,15187,0.00000,
960667,2007-12-31,2007-01-01,495,4,15185,3.85000,
960666,2007-12-31,2007-01-01,495,4,15183,6.00000,
960665,2007-12-31,2007-01-01,495,4,15180,0.00000,
960664,2007-12-31,2007-01-01,495,4,15176,21.39000,
960663,2007-12-31,2007-01-01,495,4,15172,0.00000,
960662,2007-12-31,2007-01-01,495,4,15162,22.97000,
960661,2007-12-31,2007-01-01,495,4,15135,0.00000,
960660,2007-12-31,2007-01-01,495,4,15131,4.43000,
960659,2007-12-31,2007-01-01,495,4,15114,37.00000,
960658,2007-12-31,2007-01-01,495,4,15109,0.00000,
960657,2007-12-31,2007-01-01,495,4,15106,15.95000,
960656,2007-12-31,2007-01-01,495,4,15104,0.00000,
960655,2007-12-31,2007-01-01,495,4,15001,38.08000,
960654,2007-12-31,2007-01-01,495,4,13894,4.00000,
960653,2007-12-31,2007-01-01,495,4,13873,2.35000,
960652,2007-12-31,2007-01-01,495,4,13838,43.47000,
960651,2007-12-31,2007-01-01,495,4,13836,73.14000,
960650,2007-12-31,2007-01-01,495,4,13810,0.00000,
960649,2007-12-31,2007-01-01,495,4,13780,33.67000,
960648,2007-12-31,2007-01-01,495,4,13760,0.00000,
960647,2007-12-31,2007-01-01,495,4,13744,3.00000,
960646,2007-12-31,2007-01-01,495,4,13074,3.00000,
960645,2007-12-31,2007-01-01,495,4,13688,1.00000,
960644,2007-12-31,2007-01-01,495,4,13683,53.26000,
960643,2007-12-31,2007-01-01,495,4,13673,24.98000,
960642,2007-12-31,2007-01-01,495,4,13670,39.70000,
960641,2007-12-31,2007-01-01,495,4,13667,23.00000,
960640,2007-12-31,2007-01-01,495,4,13657,50.97000,
960639,2007-12-31,2007-01-01,495,4,13655,7.00000,
960638,2007-12-31,2007-01-01,495,4,13654,59.35000,
960637,2007-12-31,2007-01-01,495,4,13650,24.00000,
960636,2007-12-31,2007-01-01,495,4,13647,2.30000,
960635,2007-12-31,2007-01-01,495,4,13620,27.00000,
960634,2007-12-31,2007-01-01,495,4,13062,39.00000,
960633,2007-12-31,2007-01-01,495,4,13600,9.00000,
960632,2007-12-31,2007-01-01,495,4,13006,0.00000,
960631,2007-12-31,2007-01-01,495,4,13580,14.00000,
960630,2007-12-31,2007-01-01,495,4,13549,5.00000,
960629,2007-12-31,2007-01-01,495,4,13052,61.61000,
960628,2007-12-31,2007-01-01,495,4,13473,9.00000,
960627,2007-12-31,2007-01-01,495,4,13468,34.11000,
960626,2007-12-31,2007-01-01,495,4,13458,0.00000,
960625,2007-12-31,2007-01-01,495,4,13442,23.35000,
960624,2007-12-31,2007-01-01,495,4,13440,4.00000,
960623,2007-12-31,2007-01-01,495,4,13433,2.00000,
960622,2007-12-31,2007-01-01,495,4,13430,52.42000,
960621,2007-12-31,2007-01-01,495,4,13042,5.00000,
960620,2007-12-31,2007-01-01,495,4,13300,4.00000,
960619,2007-12-31,2007-01-01,495,4,13030,0.00000,
960618,2007-12-31,2007-01-01,495,4,13268,7.00000,
960617,2007-12-31,2007-01-01,495,4,13248,42.00000,
960616,2007-12-31,2007-01-01,495,4,13244,45.82000,
960615,2007-12-31,2007-01-01,495,4,13222,34.86000,
960614,2007-12-31,2007-01-01,495,4,13212,5.00000,
960613,2007-12-31,2007-01-01,495,4,13188,29.02000,
960612,2007-12-31,2007-01-01,495,4,13160,43.58000,
960611,2007-12-31,2007-01-01,495,4,13140,66.00000,
960610,2007-12-31,2007-01-01,495,4,13001,68.52000,
960609,2007-12-31,2007-01-01,495,4,11001,66.39000,
2582386,2012-12-31,2012-01-01,495,9,15442,0.05000,
2582385,2012-12-31,2012-01-01,495,9,15425,0.24000,
2582384,2012-12-31,2012-01-01,495,9,15407,26.01000,
2582383,2012-12-31,2012-01-01,495,9,15403,0.32000,
2582382,2012-12-31,2012-01-01,495,9,15401,0.24000,
2582381,2012-12-31,2012-01-01,495,9,15380,0.33000,
2582380,2012-12-31,2012-01-01,495,9,15377,0.22000,
2582379,2012-12-31,2012-01-01,495,9,15368,0.00000,
2582378,2012-12-31,2012-01-01,495,9,15367,0.16000,
2582377,2012-12-31,2012-01-01,495,9,15362,0.00000,
2582376,2012-12-31,2012-01-01,495,9,15332,0.00000,
2582375,2012-12-31,2012-01-01,495,9,15325,0.32000,
2582374,2012-12-31,2012-01-01,495,9,15322,0.20000,
2582373,2012-12-31,2012-01-01,495,9,15317,0.00000,
2582352,2012-12-31,2012-01-01,495,9,15183,0.08000,
2582353,2012-12-31,2012-01-01,495,9,15185,9.87000,
2582354,2012-12-31,2012-01-01,495,9,15187,0.00000,
2582355,2012-12-31,2012-01-01,495,9,15189,0.00000,
2582356,2012-12-31,2012-01-01,495,9,15204,6.83000,
2582357,2012-12-31,2012-01-01,495,9,15212,0.10000,
2582358,2012-12-31,2012-01-01,495,9,15215,0.15000,
2582359,2012-12-31,2012-01-01,495,9,15218,0.00000,
2582360,2012-12-31,2012-01-01,495,9,15223,0.23000,
2582361,2012-12-31,2012-01-01,495,9,15224,9.06000,
2582362,2012-12-31,2012-01-01,495,9,15226,0.16000,
2582363,2012-12-31,2012-01-01,495,9,15232,0.08000,
2582364,2012-12-31,2012-01-01,495,9,15236,0.00000,
2582365,2012-12-31,2012-01-01,495,9,15238,58.12000,
2582366,2012-12-31,2012-01-01,495,9,15244,0.00000,
2582367,2012-12-31,2012-01-01,495,9,15248,0.00000,
2582368,2012-12-31,2012-01-01,495,9,15272,0.34000,
2582369,2012-12-31,2012-01-01,495,9,15276,15.73000,
2582370,2012-12-31,2012-01-01,495,9,15293,0.12000,
2582371,2012-12-31,2012-01-01,495,9,15296,0.40000,
2582372,2012-12-31,2012-01-01,495,9,15299,3.38000,
2583257,2012-12-31,2012-01-01,495,9,99773,0.13000,
2583256,2012-12-31,2012-01-01,495,9,99624,0.00000,
2583255,2012-12-31,2012-01-01,495,9,99524,0.00000,
2583254,2012-12-31,2012-01-01,495,9,99001,0.14000,
2583253,2012-12-31,2012-01-01,495,9,97889,0.00000,
2583252,2012-12-31,2012-01-01,495,9,97777,0.00000,
2583251,2012-12-31,2012-01-01,495,9,97666,0.00000,
2583250,2012-12-31,2012-01-01,495,9,97511,0.00000,
2583249,2012-12-31,2012-01-01,495,9,97161,0.00000,
2583248,2012-12-31,2012-01-01,495,9,97001,0.65000,
2583247,2012-12-31,2012-01-01,495,9,95200,0.04000,
2583246,2012-12-31,2012-01-01,495,9,95025,0.11000,
2583245,2012-12-31,2012-01-01,495,9,95015,0.17000,
2583244,2012-12-31,2012-01-01,495,9,95001,6.71000,
2583243,2012-12-31,2012-01-01,495,9,94888,0.00000,
2583242,2012-12-31,2012-01-01,495,9,94887,0.00000,
2583241,2012-12-31,2012-01-01,495,9,94886,0.00000,
2583240,2012-12-31,2012-01-01,495,9,94885,0.00000,
2583239,2012-12-31,2012-01-01,495,9,94884,0.00000,
2583238,2012-12-31,2012-01-01,495,9,94883,0.00000,
2583237,2012-12-31,2012-01-01,495,9,94343,0.00000,
2583236,2012-12-31,2012-01-01,495,9,94001,0.24000,
2583235,2012-12-31,2012-01-01,495,9,91798,0.00000,
2583234,2012-12-31,2012-01-01,495,9,91669,0.00000,
2583233,2012-12-31,2012-01-01,495,9,91540,0.00000,
2583232,2012-12-31,2012-01-01,495,9,91460,0.00000,
2583231,2012-12-31,2012-01-01,495,9,91407,0.00000,
2583230,2012-12-31,2012-01-01,495,9,91405,0.00000,
2583229,2012-12-31,2012-01-01,495,9,91263,0.00000,
2583228,2012-12-31,2012-01-01,495,9,91001,0.35000,
2583227,2012-12-31,2012-01-01,495,9,88564,0.00000,
2583226,2012-12-31,2012-01-01,495,9,88001,0.08000,
2583225,2012-12-31,2012-01-01,495,9,86885,0.13000,
2583224,2012-12-31,2012-01-01,495,9,86865,0.25000,
2583223,2012-12-31,2012-01-01,495,9,86760,0.47000,
2583222,2012-12-31,2012-01-01,495,9,86757,0.13000,
2583221,2012-12-31,2012-01-01,495,9,86755,0.16000,
2583220,2012-12-31,2012-01-01,495,9,86749,0.27000,
2583219,2012-12-31,2012-01-01,495,9,86573,0.19000,
2583218,2012-12-31,2012-01-01,495,9,86571,0.02000,
2583217,2012-12-31,2012-01-01,495,9,86569,0.06000,
2583216,2012-12-31,2012-01-01,495,9,86568,0.24000,
2583215,2012-12-31,2012-01-01,495,9,86320,0.20000,
2583214,2012-12-31,2012-01-01,495,9,86219,0.27000,
2583213,2012-12-31,2012-01-01,495,9,86001,0.35000,
2583212,2012-12-31,2012-01-01,495,9,85440,65.63000,
2583211,2012-12-31,2012-01-01,495,9,85430,26.26000,
2583210,2012-12-31,2012-01-01,495,9,85410,61.75000,
2583209,2012-12-31,2012-01-01,495,9,85400,0.05000,
2583208,2012-12-31,2012-01-01,495,9,85325,19.08000,
2583207,2012-12-31,2012-01-01,495,9,85315,0.51000,
2583206,2012-12-31,2012-01-01,495,9,85300,44.20000,
2583205,2012-12-31,2012-01-01,495,9,85279,0.00000,
2583204,2012-12-31,2012-01-01,495,9,85263,2.20000,
2583203,2012-12-31,2012-01-01,495,9,85250,27.85000,
2583202,2012-12-31,2012-01-01,495,9,85230,47.95000,
2583201,2012-12-31,2012-01-01,495,9,85225,0.30000,
2583200,2012-12-31,2012-01-01,495,9,85162,73.25000,
2583199,2012-12-31,2012-01-01,495,9,85139,44.22000,
2583198,2012-12-31,2012-01-01,495,9,85136,0.33000,
2583197,2012-12-31,2012-01-01,495,9,85125,0.14000,
2583196,2012-12-31,2012-01-01,495,9,85015,0.00000,
2583195,2012-12-31,2012-01-01,495,9,85010,72.42000,
2583194,2012-12-31,2012-01-01,495,9,85001,70.51000,
2583193,2012-12-31,2012-01-01,495,9,81794,0.13000,
2583192,2012-12-31,2012-01-01,495,9,81736,0.17000,
2583191,2012-12-31,2012-01-01,495,9,81591,0.24000,
2583190,2012-12-31,2012-01-01,495,9,81300,0.15000,
2583189,2012-12-31,2012-01-01,495,9,81220,0.34000,
2583188,2012-12-31,2012-01-01,495,9,81065,0.29000,
2583187,2012-12-31,2012-01-01,495,9,81001,0.15000,
2583186,2012-12-31,2012-01-01,495,9,76895,38.83000,
2583185,2012-12-31,2012-01-01,495,9,76892,37.65000,
2583184,2012-12-31,2012-01-01,495,9,76890,0.11000,
2583183,2012-12-31,2012-01-01,495,9,76869,0.35000,
2583182,2012-12-31,2012-01-01,495,9,76863,0.04000,
2583181,2012-12-31,2012-01-01,495,9,76845,0.00000,
2583180,2012-12-31,2012-01-01,495,9,76834,53.81000,
2583179,2012-12-31,2012-01-01,495,9,76828,0.54000,
2583178,2012-12-31,2012-01-01,495,9,76823,0.91000,
2583177,2012-12-31,2012-01-01,495,9,76736,49.51000,
2583176,2012-12-31,2012-01-01,495,9,76670,38.05000,
2583175,2012-12-31,2012-01-01,495,9,76622,46.15000,
2583174,2012-12-31,2012-01-01,495,9,76616,0.52000,
2583173,2012-12-31,2012-01-01,495,9,76606,0.50000,
2583172,2012-12-31,2012-01-01,495,9,76563,43.85000,
2583171,2012-12-31,2012-01-01,495,9,76520,51.66000,
2583170,2012-12-31,2012-01-01,495,9,76497,52.71000,
2583169,2012-12-31,2012-01-01,495,9,76403,58.20000,
2583168,2012-12-31,2012-01-01,495,9,76400,58.95000,
2583167,2012-12-31,2012-01-01,495,9,76377,0.35000,
2583166,2012-12-31,2012-01-01,495,9,76364,39.32000,
2583165,2012-12-31,2012-01-01,495,9,76318,50.32000,
2583164,2012-12-31,2012-01-01,495,9,76306,38.17000,
2583163,2012-12-31,2012-01-01,495,9,76275,48.48000,
2582351,2012-12-31,2012-01-01,495,9,15180,0.09000,
2582350,2012-12-31,2012-01-01,495,9,15176,55.57000,
2582349,2012-12-31,2012-01-01,495,9,15172,0.20000,
2582348,2012-12-31,2012-01-01,495,9,15162,27.13000,
2582347,2012-12-31,2012-01-01,495,9,15135,0.91000,
2582346,2012-12-31,2012-01-01,495,9,15131,3.58000,
2582345,2012-12-31,2012-01-01,495,9,15114,0.00000,
2582344,2012-12-31,2012-01-01,495,9,15109,0.00000,
2582343,2012-12-31,2012-01-01,495,9,15106,15.63000,
2582342,2012-12-31,2012-01-01,495,9,15104,0.07000,
2582341,2012-12-31,2012-01-01,495,9,15097,0.11000,
2582340,2012-12-31,2012-01-01,495,9,15092,0.00000,
2582339,2012-12-31,2012-01-01,495,9,15090,7.30000,
2582338,2012-12-31,2012-01-01,495,9,15087,40.68000,
2582337,2012-12-31,2012-01-01,495,9,15051,12.90000,
2582336,2012-12-31,2012-01-01,495,9,15047,0.24000,
2582335,2012-12-31,2012-01-01,495,9,15022,0.18000,
2582334,2012-12-31,2012-01-01,495,9,15001,69.56000,
2582333,2012-12-31,2012-01-01,495,9,13894,0.90000,
2582332,2012-12-31,2012-01-01,495,9,13873,56.02000,
2582331,2012-12-31,2012-01-01,495,9,13838,58.78000,
2582330,2012-12-31,2012-01-01,495,9,13836,76.18000,
2582329,2012-12-31,2012-01-01,495,9,13810,0.00000,
2582328,2012-12-31,2012-01-01,495,9,13780,36.90000,
