ID_VALDA,FIN_VALDA,INI_VALDA,ID_DATO,ID_UNIDAD,ID_MUN,VAL_VALDA,ID_DEPTO
709508,2004-12-31,2004-01-01,322,9,,0.44040,99
2702024,2013-12-31,2013-01-01,322,4,95015,1.00000,
2702023,2013-12-31,2013-01-01,322,4,95001,92.00000,
2702022,2013-12-31,2013-01-01,322,4,94001,6.00000,
2702021,2013-12-31,2013-01-01,322,4,91001,53.00000,
2702020,2013-12-31,2013-01-01,322,4,88564,61.00000,
2702019,2013-12-31,2013-01-01,322,4,88001,87.00000,
2702018,2013-12-31,2013-01-01,322,4,86885,4.00000,
2702017,2013-12-31,2013-01-01,322,4,86865,40.00000,
2702016,2013-12-31,2013-01-01,322,4,86760,53.00000,
2702015,2013-12-31,2013-01-01,322,4,86757,11.00000,
2702014,2013-12-31,2013-01-01,322,4,86755,4.00000,
2702013,2013-12-31,2013-01-01,322,4,86749,63.00000,
2702012,2013-12-31,2013-01-01,322,4,86573,77.00000,
2702011,2013-12-31,2013-01-01,322,4,86571,72.00000,
2702010,2013-12-31,2013-01-01,322,4,86569,62.00000,
2702009,2013-12-31,2013-01-01,322,4,86568,67.00000,
2702008,2013-12-31,2013-01-01,322,4,86320,28.00000,
2702007,2013-12-31,2013-01-01,322,4,86219,56.00000,
2702006,2013-12-31,2013-01-01,322,4,86001,8.00000,
2702005,2013-12-31,2013-01-01,322,4,85440,3.00000,
2702004,2013-12-31,2013-01-01,322,4,85430,15.00000,
2702003,2013-12-31,2013-01-01,322,4,85410,15.00000,
2702002,2013-12-31,2013-01-01,322,4,85400,11.00000,
2702001,2013-12-31,2013-01-01,322,4,85325,20.00000,
2702000,2013-12-31,2013-01-01,322,4,85315,83.00000,
2701999,2013-12-31,2013-01-01,322,4,85300,5.00000,
2701998,2013-12-31,2013-01-01,322,4,85279,37.00000,
2701997,2013-12-31,2013-01-01,322,4,85263,57.00000,
2701996,2013-12-31,2013-01-01,322,4,85250,25.00000,
2701995,2013-12-31,2013-01-01,322,4,85230,16.00000,
2701994,2013-12-31,2013-01-01,322,4,85225,23.00000,
2701993,2013-12-31,2013-01-01,322,4,85162,63.00000,
2701992,2013-12-31,2013-01-01,322,4,85139,90.00000,
2701991,2013-12-31,2013-01-01,322,4,85136,94.00000,
2701990,2013-12-31,2013-01-01,322,4,85125,25.00000,
2701989,2013-12-31,2013-01-01,322,4,85015,47.00000,
2701988,2013-12-31,2013-01-01,322,4,85010,69.00000,
2701987,2013-12-31,2013-01-01,322,4,85001,71.00000,
2701986,2013-12-31,2013-01-01,322,4,81794,48.00000,
2701985,2013-12-31,2013-01-01,322,4,81736,34.00000,
2701984,2013-12-31,2013-01-01,322,4,81591,17.00000,
2701983,2013-12-31,2013-01-01,322,4,81300,87.00000,
2701982,2013-12-31,2013-01-01,322,4,81220,59.00000,
2701981,2013-12-31,2013-01-01,322,4,81065,2.00000,
2701980,2013-12-31,2013-01-01,322,4,81001,67.00000,
2701979,2013-12-31,2013-01-01,322,4,76895,7.00000,
2701978,2013-12-31,2013-01-01,322,4,76892,57.00000,
2701977,2013-12-31,2013-01-01,322,4,76890,47.00000,
2701976,2013-12-31,2013-01-01,322,4,76869,20.00000,
2701975,2013-12-31,2013-01-01,322,4,76863,75.00000,
2701974,2013-12-31,2013-01-01,322,4,76845,92.00000,
2701973,2013-12-31,2013-01-01,322,4,76834,62.00000,
2701972,2013-12-31,2013-01-01,322,4,76828,94.00000,
2701971,2013-12-31,2013-01-01,322,4,76823,77.00000,
2701970,2013-12-31,2013-01-01,322,4,76736,4.00000,
2701969,2013-12-31,2013-01-01,322,4,76670,37.00000,
2701968,2013-12-31,2013-01-01,322,4,76622,28.00000,
2701967,2013-12-31,2013-01-01,322,4,76616,75.00000,
2701966,2013-12-31,2013-01-01,322,4,76606,91.00000,
2701965,2013-12-31,2013-01-01,322,4,76563,60.00000,
2701964,2013-12-31,2013-01-01,322,4,76520,23.00000,
2701963,2013-12-31,2013-01-01,322,4,76497,68.00000,
2701962,2013-12-31,2013-01-01,322,4,76403,84.00000,
2701961,2013-12-31,2013-01-01,322,4,76400,21.00000,
2701960,2013-12-31,2013-01-01,322,4,76377,57.00000,
2701959,2013-12-31,2013-01-01,322,4,76364,6.00000,
2701958,2013-12-31,2013-01-01,322,4,76318,83.00000,
2701957,2013-12-31,2013-01-01,322,4,76306,88.00000,
2701956,2013-12-31,2013-01-01,322,4,76275,34.00000,
2701955,2013-12-31,2013-01-01,322,4,76250,32.00000,
2701954,2013-12-31,2013-01-01,322,4,76248,17.00000,
2701953,2013-12-31,2013-01-01,322,4,76246,22.00000,
2701952,2013-12-31,2013-01-01,322,4,76243,58.00000,
2701951,2013-12-31,2013-01-01,322,4,76233,88.00000,
2701950,2013-12-31,2013-01-01,322,4,76147,30.00000,
2701949,2013-12-31,2013-01-01,322,4,76130,22.00000,
2701948,2013-12-31,2013-01-01,322,4,76126,10.00000,
2701947,2013-12-31,2013-01-01,322,4,76122,21.00000,
2701946,2013-12-31,2013-01-01,322,4,76113,63.00000,
2701945,2013-12-31,2013-01-01,322,4,76111,69.00000,
2701944,2013-12-31,2013-01-01,322,4,76109,52.00000,
2701943,2013-12-31,2013-01-01,322,4,76100,11.00000,
2701942,2013-12-31,2013-01-01,322,4,76054,24.00000,
2701941,2013-12-31,2013-01-01,322,4,76041,44.00000,
2701940,2013-12-31,2013-01-01,322,4,76036,27.00000,
2701939,2013-12-31,2013-01-01,322,4,76020,5.00000,
2701938,2013-12-31,2013-01-01,322,4,76001,58.00000,
2701937,2013-12-31,2013-01-01,322,4,73873,68.00000,
708288,2004-12-31,2004-01-01,322,9,99773,0.92040,
708287,2004-12-31,2004-01-01,322,9,99624,0.85530,
708286,2004-12-31,2004-01-01,322,9,99524,0.67640,
708285,2004-12-31,2004-01-01,322,9,99001,0.86670,
708284,2004-12-31,2004-01-01,322,9,97666,0.52840,
708283,2004-12-31,2004-01-01,322,9,97001,0.75720,
708282,2004-12-31,2004-01-01,322,9,95200,0.14990,
708281,2004-12-31,2004-01-01,322,9,95025,0.38720,
708280,2004-12-31,2004-01-01,322,9,95015,0.68440,
708279,2004-12-31,2004-01-01,322,9,95001,0.67510,
708278,2004-12-31,2004-01-01,322,9,94001,0.40670,
708277,2004-12-31,2004-01-01,322,9,91001,0.54760,
708276,2004-12-31,2004-01-01,322,9,88564,0.66410,
708275,2004-12-31,2004-01-01,322,9,88001,0.48550,
708274,2004-12-31,2004-01-01,322,9,86885,0.23720,
708273,2004-12-31,2004-01-01,322,9,86865,0.76340,
708272,2004-12-31,2004-01-01,322,9,86760,0.02170,
708271,2004-12-31,2004-01-01,322,9,86757,0.38440,
708270,2004-12-31,2004-01-01,322,9,86755,0.37060,
708269,2004-12-31,2004-01-01,322,9,86749,0.54690,
708268,2004-12-31,2004-01-01,322,9,86573,0.79620,
708267,2004-12-31,2004-01-01,322,9,86571,0.82660,
708266,2004-12-31,2004-01-01,322,9,86569,0.60450,
708265,2004-12-31,2004-01-01,322,9,86568,0.55440,
708264,2004-12-31,2004-01-01,322,9,86320,0.78050,
708263,2004-12-31,2004-01-01,322,9,86219,0.46090,
708262,2004-12-31,2004-01-01,322,9,86001,0.49950,
708261,2004-12-31,2004-01-01,322,9,85440,0.61410,
708260,2004-12-31,2004-01-01,322,9,85430,0.32270,
708259,2004-12-31,2004-01-01,322,9,85410,0.74510,
708258,2004-12-31,2004-01-01,322,9,85400,0.83920,
